attrs,values
units,"1"
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"[0, 0]"
level,time,dtime,id,lon,lat,neighbour_selection_method,vertical_displacement
0,2000-01-01,0,537,-2.78629994,53.88859940,nearest,-8.77538872
0,2000-01-01,0,538,-6.55240011,52.62210083,nearest,-4.38253784
0,2000-01-01,0,539,-9.15820026,52.10770035,nearest,-7.86532593
0,2000-01-01,0,540,-8.93789959,51.81169891,nearest,6.00445557
0,2000-01-01,0,541,-3.07879996,55.18420029,nearest,-58.18887329
0,2000-01-01,0,542,-3.12350011,58.43700027,nearest,23.27837372
0,2000-01-01,0,543,-3.45910001,52.92229843,nearest,-86.50341797
0,2000-01-01,0,545,7.65829992,49.96879959,nearest,-258.59326172
0,2000-01-01,0,553,-2.61139989,55.96500015,nearest,12.21376038
0,2000-01-01,0,554,-3.78160000,55.86650085,nearest,42.73596191
0,2000-01-01,0,555,-1.55400002,55.11149979,nearest,7.50782967
0,2000-01-01,0,556,-1.02670002,53.07249832,nearest,40.87479401
0,2000-01-01,0,557,-1.26220000,52.62960052,nearest,7.40712738
0,2000-01-01,0,558,-1.09909999,52.29539871,nearest,-11.37437439
0,2000-01-01,0,559,0.13020000,53.23989868,nearest,32.40075302
0,2000-01-01,0,560,1.48810005,52.29629898,nearest,8.87600708
0,2000-01-01,0,561,-5.15780020,50.28260040,nearest,32.14568329
0,2000-01-01,0,562,-0.52859998,54.15100098,nearest,45.46270752
0,2000-01-01,0,563,-1.33109999,53.61569977,nearest,23.16009140
0,2000-01-01,0,564,-1.75940001,55.49969864,nearest,24.64171600
0,2000-01-01,0,565,0.91769999,51.71799850,nearest,-1.59133387
0,2000-01-01,0,566,-0.86699998,53.66770172,nearest,0.00000000
0,2000-01-01,0,567,-3.47399998,52.95550156,nearest,101.63139343
0,2000-01-01,0,568,-0.02360000,52.53390121,nearest,1.00000000
0,2000-01-01,0,569,-5.20289993,50.04479980,nearest,12.51538086
0,2000-01-01,0,570,-4.38700008,50.49850082,nearest,75.68475342
0,2000-01-01,0,571,-1.43869996,54.77970123,nearest,58.50178528
0,2000-01-01,0,572,-3.16939998,54.77379990,nearest,47.06372833
0,2000-01-01,0,573,-1.41540003,54.83050156,nearest,8.57478333
0,2000-01-01,0,574,-1.23800004,53.31159973,nearest,10.08489990
0,2000-01-01,0,575,-2.84759998,53.89820099,nearest,-1.84266806
0,2000-01-01,0,576,-0.12070000,52.46210098,nearest,1.00000000
0,2000-01-01,0,577,-5.14060020,50.17559814,nearest,99.10709381
