attrs,values
units,"m s-1"
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"[0, 0]"
level,time,dtime,id,lon,lat,wind_speed,percentile
0,2023-02-17 06:00:00,6,363,-0.92379999,53.72679901,8.61499023,50.00000000
0,2023-02-17 06:00:00,6,364,-1.44180000,54.71879959,9.78120995,50.00000000
0,2023-02-17 06:00:00,6,365,-3.50189996,54.63090134,8.73163033,50.00000000
0,2023-02-17 06:00:00,6,366,-1.48969996,55.13499832,13.66779995,50.00000000
0,2023-02-17 06:00:00,6,368,-3.68630004,58.60409927,14.05327034,50.00000000
0,2023-02-17 06:00:00,6,383,-3.50000000,54.42100143,8.65087032,50.00000000
0,2023-02-17 06:00:00,6,384,-2.20099998,51.86159897,7.50478983,50.00000000
0,2023-02-17 06:00:00,6,385,-1.61940002,52.50809860,8.42395973,50.00000000
0,2023-02-17 06:00:00,6,386,-1.20459998,53.70529938,8.58335018,50.00000000
0,2023-02-17 06:00:00,6,387,-1.04920006,53.20059967,7.76041985,50.00000000
0,2023-02-17 06:00:00,6,388,-1.13220000,53.22650146,7.88205004,50.00000000
0,2023-02-17 06:00:00,6,389,-1.06110001,53.41370010,7.84946012,50.00000000
0,2023-02-17 06:00:00,6,390,-1.64900005,55.24000168,12.41658974,50.00000000
0,2023-02-17 06:00:00,6,391,-2.44700003,53.53200150,10.27754021,50.00000000
0,2023-02-17 06:00:00,6,392,-1.38499999,52.99800110,9.24188995,50.00000000
0,2023-02-17 06:00:00,6,393,-1.38150001,52.69350052,8.65579987,50.00000000
0,2023-02-17 06:00:00,6,394,-1.69079995,53.27330017,13.48287010,50.00000000
0,2023-02-17 06:00:00,6,395,-3.89590001,55.52199936,11.02692032,50.00000000
0,2023-02-17 06:00:00,6,396,-3.82640004,55.61240005,10.19402981,50.00000000
0,2023-02-17 06:00:00,6,397,-3.89479995,55.52209854,11.02692032,50.00000000
0,2023-02-17 06:00:00,6,398,-4.28299999,55.37829971,9.56334019,50.00000000
