attrs,values
units,"m s-1"
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"['[', '0', ',', ' ', '0', ']']"
level,time,dtime,id,lon,lat,wind_speed,percentile
0.00000000,2023-02-20 06:00:00,6,355,-2.40799999,55.96799850,6.21747828,50.00000000
0.00000000,2023-02-20 06:00:00,6,356,-0.23029999,52.93460083,6.16333008,50.00000000
0.00000000,2023-02-20 06:00:00,6,357,-3.67389989,52.63790131,5.09349537,50.00000000
0.00000000,2023-02-20 06:00:00,6,358,-4.54589987,50.64799881,3.18683696,50.00000000
0.00000000,2023-02-20 06:00:00,6,359,-3.07850003,54.87300110,6.81135035,50.00000000
0.00000000,2023-02-20 06:00:00,6,362,-1.68799996,54.82049942,8.45298767,50.00000000
0.00000000,2023-02-20 06:00:00,6,363,-0.92379999,53.72679901,5.58053637,50.00000000
0.00000000,2023-02-20 06:00:00,6,364,-1.44180000,54.71879959,5.98372269,50.00000000
0.00000000,2023-02-20 06:00:00,6,365,-3.50189996,54.63090134,5.54405308,50.00000000
0.00000000,2023-02-20 06:00:00,6,366,-1.48969996,55.13499832,8.45518970,50.00000000
0.00000000,2023-02-20 06:00:00,6,368,-3.68630004,58.60409927,10.36444855,50.00000000
0.00000000,2023-02-20 06:00:00,6,383,-3.50000000,54.42100143,2.96882057,50.00000000
0.00000000,2023-02-20 06:00:00,6,384,-2.20099998,51.86159897,3.58227038,50.00000000
0.00000000,2023-02-20 06:00:00,6,385,-1.61940002,52.50809860,4.28064203,50.00000000
0.00000000,2023-02-20 06:00:00,6,386,-1.20459998,53.70529938,5.75385380,50.00000000
0.00000000,2023-02-20 06:00:00,6,387,-1.04920006,53.20059967,4.27590084,50.00000000
0.00000000,2023-02-20 06:00:00,6,388,-1.13220000,53.22650146,3.75719047,50.00000000
0.00000000,2023-02-20 06:00:00,6,389,-1.06110001,53.41370010,4.44024229,50.00000000
0.00000000,2023-02-20 06:00:00,6,390,-1.64900005,55.24000168,8.35470772,50.00000000
0.00000000,2023-02-20 06:00:00,6,391,-2.44700003,53.53200150,4.69274950,50.00000000
0.00000000,2023-02-20 06:00:00,6,392,-1.38499999,52.99800110,5.24570227,50.00000000
0.00000000,2023-02-20 06:00:00,6,393,-1.38150001,52.69350052,5.23956633,50.00000000
0.00000000,2023-02-20 06:00:00,6,394,-1.69079995,53.27330017,5.51641130,50.00000000
0.00000000,2023-02-20 06:00:00,6,395,-3.89590001,55.52199936,7.88839006,50.00000000
0.00000000,2023-02-20 06:00:00,6,396,-3.82640004,55.61240005,6.79947710,50.00000000
0.00000000,2023-02-20 06:00:00,6,397,-3.89479995,55.52209854,7.88839006,50.00000000
0.00000000,2023-02-20 06:00:00,6,398,-4.28299999,55.37829971,6.13663197,50.00000000
0.00000000,2023-02-20 06:00:00,6,399,-4.40899992,55.45380020,6.80311918,50.00000000
0.00000000,2023-02-20 06:00:00,6,400,-4.37659979,55.33319855,4.69350624,50.00000000
0.00000000,2023-02-20 06:00:00,6,401,-3.83699989,55.59299850,6.09217501,50.00000000
0.00000000,2023-02-20 06:00:00,6,402,-3.15319991,55.82630157,7.08466816,50.00000000
0.00000000,2023-02-20 06:00:00,6,403,-3.98690009,55.54079819,7.36339045,50.00000000
0.00000000,2023-02-20 06:00:00,6,404,-3.41310000,56.11669922,4.40518904,50.00000000
0.00000000,2023-02-20 06:00:00,6,405,-3.88870001,51.69390106,2.70564628,50.00000000
0.00000000,2023-02-20 06:00:00,6,406,-3.61350012,51.73149872,3.60874629,50.00000000
0.00000000,2023-02-20 06:00:00,6,407,-4.01020002,50.40959930,2.14519882,50.00000000
0.00000000,2023-02-20 06:00:00,6,408,-0.82160002,54.55619812,7.21857023,50.00000000
0.00000000,2023-02-20 06:00:00,6,409,-7.38000011,54.59000015,4.96096468,50.00000000
0.00000000,2023-02-20 06:00:00,6,414,-0.19820000,53.94789886,7.11610937,50.00000000
0.00000000,2023-02-20 06:00:00,6,415,-0.08600000,53.81370163,6.30889177,50.00000000
0.00000000,2023-02-20 06:00:00,6,416,-4.87260008,55.07630157,5.66831923,50.00000000
0.00000000,2023-02-20 06:00:00,6,417,-1.55980003,55.20460129,8.13830948,50.00000000
0.00000000,2023-02-20 06:00:00,6,418,-3.27060008,58.40819931,7.20238876,50.00000000
0.00000000,2023-02-20 06:00:00,6,419,-4.96029997,50.47219849,2.75587320,50.00000000
0.00000000,2023-02-20 06:00:00,6,420,-3.14569998,59.11489868,15.08325577,50.00000000
0.00000000,2023-02-20 06:00:00,6,421,-3.66300011,51.68000031,3.50325680,50.00000000
0.00000000,2023-02-20 06:00:00,6,422,0.80350000,50.96009827,3.40797424,50.00000000
0.00000000,2023-02-20 06:00:00,6,423,-4.43359995,53.36220169,5.59683990,50.00000000
0.00000000,2023-02-20 06:00:00,6,424,-3.65070009,53.38109970,6.72347021,50.00000000
0.00000000,2023-02-20 06:00:00,6,425,-4.20289993,55.29380035,7.50325584,50.00000000
0.00000000,2023-02-20 06:00:00,6,426,6.47489977,48.84550095,2.17669058,50.00000000
0.00000000,2023-02-20 06:00:00,6,427,3.81089997,49.70009995,1.81547332,50.00000000
0.00000000,2023-02-20 06:00:00,6,428,4.04440022,49.67839813,2.11599112,50.00000000
0.00000000,2023-02-20 06:00:00,6,429,-2.04719996,46.94929886,0.78665441,50.00000000
0.00000000,2023-02-20 06:00:00,6,430,6.51420021,49.17070007,3.13974977,50.00000000
0.00000000,2023-02-20 06:00:00,6,431,0.93580002,49.81209946,2.72202396,50.00000000
0.00000000,2023-02-20 06:00:00,6,432,2.29320002,49.65430069,2.00257087,50.00000000
0.00000000,2023-02-20 06:00:00,6,433,1.49689996,49.83990097,3.03206038,50.00000000
0.00000000,2023-02-20 06:00:00,6,434,-4.13329983,48.18000031,0.23911814,50.00000000
0.00000000,2023-02-20 06:00:00,6,436,4.19469976,48.89419937,1.74342883,50.00000000
0.00000000,2023-02-20 06:00:00,6,437,-1.45039999,46.41979980,1.00636411,50.00000000
0.00000000,2023-02-20 06:00:00,6,438,2.06870008,47.00569916,0.25964373,50.00000000
0.00000000,2023-02-20 06:00:00,6,439,1.32939994,47.92919922,0.17815381,50.00000000
0.00000000,2023-02-20 06:00:00,6,440,2.05049992,49.58900070,2.10602283,50.00000000
0.00000000,2023-02-20 06:00:00,6,441,1.25479996,49.95180130,2.81386328,50.00000000
0.00000000,2023-02-20 06:00:00,6,442,-2.41429996,48.42150116,0.12228636,50.00000000
0.00000000,2023-02-20 06:00:00,6,443,5.43900013,48.69789886,2.56595993,50.00000000
0.00000000,2023-02-20 06:00:00,6,444,1.90779996,48.16149902,0.25548711,50.00000000
0.00000000,2023-02-20 06:00:00,6,445,0.10980000,45.81760025,0.17887461,50.00000000
0.00000000,2023-02-20 06:00:00,6,446,-0.93300003,53.61700058,5.56348896,50.00000000
0.00000000,2023-02-20 06:00:00,6,447,-4.13570023,51.68339920,3.65955257,50.00000000
0.00000000,2023-02-20 06:00:00,6,448,-3.56620002,51.70320129,3.92332840,50.00000000
0.00000000,2023-02-20 06:00:00,6,449,-4.96439981,51.79320145,4.22347832,50.00000000
0.00000000,2023-02-20 06:00:00,6,450,-3.33859992,53.04109955,4.76502800,50.00000000
0.00000000,2023-02-20 06:00:00,6,451,-4.18260002,53.20959854,5.42135715,50.00000000
0.00000000,2023-02-20 06:00:00,6,452,-5.21799994,56.21889877,2.34419084,50.00000000
0.00000000,2023-02-20 06:00:00,6,454,10.27099991,52.17499924,7.10010338,50.00000000
0.00000000,2023-02-20 06:00:00,6,455,10.36400032,52.61700058,6.77683306,50.00000000
0.00000000,2023-02-20 06:00:00,6,456,9.50000000,53.12599945,6.84282255,50.00000000
0.00000000,2023-02-20 06:00:00,6,458,-2.25699997,55.90480042,6.85949564,50.00000000
0.00000000,2023-02-20 06:00:00,6,459,-0.47999999,52.24000168,5.40918016,50.00000000
0.00000000,2023-02-20 06:00:00,6,460,1.28999996,52.06000137,4.85624409,50.00000000
0.00000000,2023-02-20 06:00:00,6,461,-1.40999997,51.11000061,2.98975015,50.00000000
0.00000000,2023-02-20 06:00:00,6,462,-1.25999999,51.06000137,2.92397857,50.00000000
0.00000000,2023-02-20 06:00:00,6,463,-0.57999998,51.61000061,3.99151659,50.00000000
0.00000000,2023-02-20 06:00:00,6,464,-4.28809977,55.86090088,3.12389851,50.00000000
0.00000000,2023-02-20 06:00:00,6,465,-4.29379988,55.85829926,3.12389851,50.00000000
0.00000000,2023-02-20 06:00:00,6,466,-3.75900006,56.57569885,4.08005476,50.00000000
0.00000000,2023-02-20 06:00:00,6,467,-3.61109996,55.39619827,6.35433388,50.00000000
0.00000000,2023-02-20 06:00:00,6,468,-7.85160017,54.86640167,5.46679688,50.00000000
0.00000000,2023-02-20 06:00:00,6,470,-2.64910007,57.66510010,6.09711599,50.00000000
0.00000000,2023-02-20 06:00:00,6,471,-6.46540022,57.43920135,3.03595924,50.00000000
0.00000000,2023-02-20 06:00:00,6,472,-3.23740005,58.46020126,7.66731787,50.00000000
0.00000000,2023-02-20 06:00:00,6,473,-4.43860006,57.71549988,10.26190662,50.00000000
0.00000000,2023-02-20 06:00:00,6,474,-5.28240013,56.37990189,3.41420841,50.00000000
0.00000000,2023-02-20 06:00:00,6,475,-3.43059993,56.30619812,3.44686604,50.00000000
0.00000000,2023-02-20 06:00:00,6,476,-3.35840011,54.85810089,6.20745134,50.00000000
0.00000000,2023-02-20 06:00:00,6,477,-1.79799998,54.75510025,7.25158834,50.00000000
0.00000000,2023-02-20 06:00:00,6,478,-2.63840008,54.33369827,5.29744625,50.00000000
0.00000000,2023-02-20 06:00:00,6,479,-3.13649988,54.24710083,6.09825182,50.00000000
0.00000000,2023-02-20 06:00:00,6,480,-1.91509998,54.88249969,8.24384117,50.00000000
0.00000000,2023-02-20 06:00:00,6,481,0.23379999,53.14410019,6.10183859,50.00000000
0.00000000,2023-02-20 06:00:00,6,482,-4.34060001,53.37670135,5.53676796,50.00000000
0.00000000,2023-02-20 06:00:00,6,483,-3.57870007,52.36249924,4.71070099,50.00000000
0.00000000,2023-02-20 06:00:00,6,484,-2.28819990,53.76509857,7.48055506,50.00000000
0.00000000,2023-02-20 06:00:00,6,485,-1.64760005,53.99679947,7.13913584,50.00000000
0.00000000,2023-02-20 06:00:00,6,486,-3.96650004,52.46369934,4.76619053,50.00000000
0.00000000,2023-02-20 06:00:00,6,487,-3.47440004,51.56449890,5.07025814,50.00000000
0.00000000,2023-02-20 06:00:00,6,488,-1.14010000,53.11690140,4.23753786,50.00000000
0.00000000,2023-02-20 06:00:00,6,489,-3.44799995,55.53939819,8.19153595,50.00000000
0.00000000,2023-02-20 06:00:00,6,490,-0.28230000,54.00439835,6.51663542,50.00000000
0.00000000,2023-02-20 06:00:00,6,491,-3.43510008,52.58229828,5.20398045,50.00000000
